"algorithm","k","n_clusters_found","silhouette_score","davies_bouldin_index","calinski_harabasz_index","nri","ari","purity"
"agglomerative","5","5","0.09799899271681452","2.2995787525245794","109.82907337836457","0.7822933153594476","0.18248007504640013","0.3433433433433433"
"agglomerative","8","8","0.07705931584355262","2.3970953519478515","80.72701668324324","0.8269812899071416","0.2054522965136255","0.36236236236236236"
"agglomerative","10","10","0.07526287826829797","2.4875834063310696","69.85057470584682","0.8382390406438502","0.18709153947703974","0.3933933933933934"
"agglomerative","16","16","0.057429012521083865","2.6423330971215697","52.161502023828525","0.8691256386647168","0.18210371918425763","0.43243243243243246"
"gmm","5","5","0.10931191161116782","2.4984792052260465","109.94598729345671","0.7730997530596729","0.175317423586276","0.3483483483483483"
"gmm","8","8","0.07427924552726164","2.546444636686073","84.68123902850732","0.8276212083827315","0.17323439891097592","0.3563563563563564"
"gmm","10","10","0.07867494899435745","2.4919374856053844","73.35370033223474","0.8441507639904433","0.1896503751990589","0.4114114114114114"
"gmm","16","16","0.06981671319958284","2.432659918640554","55.34318409391583","0.8692861197871218","0.1788475391382684","0.44144144144144143"
"kmeans","5","5","0.12059432937917465","2.2658061432240335","122.55112537965165","0.7872521820417612","0.19833172494906026","0.3353353353353353"
"kmeans","8","8","0.09295508131298096","2.34112916507295","91.69891610634993","0.8367365361353337","0.20159242150818088","0.4014014014014014"
"kmeans","10","10","0.08781958144596387","2.468312323363475","77.44529897364285","0.8483954896780548","0.19653511590239495","0.4044044044044044"
"kmeans","16","16","0.07679383548044028","2.40783556155837","56.684504980849795","0.8715148013745209","0.19638043113358222","0.44144144144144143"
"spectral","5","5","0.10459394253535964","2.18962425836025","114.29428135272002","0.7857235993508539","0.197426294719857","0.34434434434434436"
"spectral","8","8","0.07207875914159574","2.346121862645966","80.3596028266425","0.8290996407228872","0.228928958328475","0.3953953953953954"
"spectral","10","10","0.06423371928010595","2.3426170151361694","66.80255445355509","0.850114643701818","0.22521518484064393","0.4294294294294294"
"spectral","16","16","0.054891237891928506","2.496709109255189","50.38938990964859","0.8744816961249827","0.20213476117912155","0.4924924924924925"